lambda,kp,ki,v_std,u_std,sat_ratio
0.1,0.00293041016525117,0.0065837118967674,3.64435851420186,0.0135877370176914,0
0.08,0.00366301270656396,0.00822963987095925,2.70154148415079,0.0170107621102036,0
0.06,0.00488401694208528,0.010972853161279,1.77731712691422,0.022700208242865,0
0.04,0.00732602541312792,0.0164592797419185,0.935047409481276,0.0341101517854907,0
0.03,0.00976803388417056,0.021945706322558,0.612499312780771,0.045573417020193,0
0.02,0.0146520508262558,0.032918559483837,0.564717288073841,0.0686481487493691,0
0.01,0.0293041016525117,0.065837118967674,0.990585003340515,0.138967271928789,0.3
0.005,0.0586082033050234,0.131674237935348,1.54481800834978,0.28521448957302,0.8
